Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2013-06;Transilien;P;Paris Est;89.4;8.4
2019-10;RER;D;RER D;79.859;4.0
2018-07;Transilien;N;Paris Montparnasse;79.0;3.8
2013-07;RER;D;RER D;85.2;5.8
2019-11;RER;C;RER C;80.676;4.2
2018-08;RER;E;RER E;94.7;17.9
2013-07;Transilien;K;Paris Nord Crépy;85.1;5.7
2019-11;Transilien;R;Paris Sud Est;86.259;6.3
2018-08;Transilien;J;Paris Saint-Lazare Nord;93.3;13.9
2013-07;Transilien;P;Paris Est;90.1;9.1
2020-02;RER;B;RER B;80.025;4.006
2018-09;RER;E;RER E;94.4;16.9
2013-08;RER;A;RER A;88.9;8.0
2020-02;RER;C;RER C;83.249;4.97
2018-09;Transilien;J;Paris Saint-Lazare Nord;87.8;7.2
2013-09;Transilien;K;Paris Nord Crépy;86.0;6.1
2020-03;Transilien;R;Paris Sud Est;85.194;5.754
2018-10;RER;C;RER C;90.4;9.4
2013-09;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
2020-06;RER;C;RER C;85.34;5.821
2018-11;RER;B;RER B;79.03;3.8
2013-09;Transilien;P;Paris Est;88.0;7.3
2020-06;Transilien;P;Paris Est;92.538;12.401
2018-11;RER;C;RER C;83.5;5.1
2013-10;RER;B;RER B;80.7;4.2
2020-07;RER;C;RER C;92.269;11.935
2018-11;Transilien;H;Paris Nord Ouest;86.8;6.6
2013-10;RER;D;RER D;79.6;3.9
2020-07;RER;D;RER D;88.805;7.932
2018-11;Transilien;J;Paris Saint-Lazare Nord;88.6;7.8
2013-10;Transilien;H;Paris Nord Ouest;94.2;16.2
2020-08;Transilien;N;Paris Montparnasse;94.968;18.872
2018-11;Transilien;K;Paris Nord Crépy;87.2;6.8
2013-10;Transilien;L;Paris Saint-Lazare Sud;82.0;4.6
2020-08;Transilien;R;Paris Sud Est;92.623;12.555
2018-11;Transilien;P;Paris Est;86.6;6.5
2013-10;Transilien;N;Paris Montparnasse;92.6;12.5
2020-09;RER;B;RER B;83.409;5.027
2018-11;Transilien;R;Paris Sud Est;82.4;4.7
2013-11;Transilien;U;La Verrière - La Défense;88.4;7.6
2020-09;Transilien;U;La Verrière - La Défense;96.659;28.932
2018-11;Transilien;U;La Verrière - La Défense;90.4;9.4
2013-12;RER;A;RER A;81.2;4.3
